Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
951,2000-01,BOS,NBA,82,36,46,.439,19830,2773,6485,2181,4852,592,1633,1621,2190,897,2367,3264,1708,769,336,1285,1952,7759
952,2011-12,UTA*,NBA,66,36,30,.545,16165,2523,5531,2250,4686,273,845,1258,1668,861,2055,2916,1439,545,385,936,1441,6577
953,1984-85,CLE*,NBA,82,36,46,.439,19780,3470,7364,3374,7029,96,335,1867,2491,1203,2445,3648,2096,622,472,1387,2173,8903
954,1992-93,MIA,NBA,82,36,46,.439,20005,3127,6850,2794,5910,333,940,1908,2476,1134,2384,3518,1688,609,350,1287,2011,8495
955,2013-14,DEN,NBA,82,36,46,.439,19755,3147,7042,2445,5083,702,1959,1563,2154,1009,2717,3726,1838,615,459,1305,1890,8559
956,1976-77,IND,NBA,82,36,46,.439,19755,3522,7840,3522,7840,,,1714,2297,1409,2584,3993,2009,924,458,1609,2030,8758
957,1984-85,PHO*,NBA,82,36,46,.439,19805,3507,7144,3420,6837,87,307,1757,2280,1026,2425,3451,2335,727,349,1583,2034,8858
958,2005-06,ORL,NBA,82,36,46,.439,19905,2911,6167,2612,5371,299,796,1663,2277,892,2402,3294,1495,532,362,1240,1908,7784
959,1986-87,PHO,NBA,82,36,46,.439,19855,3575,7190,3514,6938,61,252,1900,2499,1113,2366,3479,2354,703,397,1498,2047,9111
960,2016-17,CHO,NBA,82,36,46,.439,19830,3093,7000,2269,4653,824,2347,1591,1953,721,2853,3574,1891,571,390,942,1360,8601
961,1972-73,KCO,NBA,82,36,46,.439,19780,3621,7581,3621,7581,,,1580,2036,,,3628,2118,,,,2054,8822
962,1954-55,BOS*,NBA,72,36,36,.500,,2604,6533,2604,6533,,,2097,2704,,,4293,1905,,,,1859,7305
963,1995-96,GSW,NBA,82,36,46,.439,19755,3056,6700,2609,5501,447,1199,1775,2340,1173,2285,3458,1889,706,470,1343,1835,8334
964,2011-12,NYK*,NBA,66,36,30,.545,15940,2365,5335,1848,3797,517,1538,1211,1634,743,2012,2755,1328,622,276,1056,1391,6458
965,1975-76,DET*,NBA,82,36,46,.439,19780,3524,7598,3524,7598,,,1557,2049,1205,2545,3750,1751,786,332,1619,2086,8605
966,2008-09,IND,NBA,82,36,46,.439,19830,3220,7080,2568,5355,652,1725,1525,1890,924,2661,3585,1775,573,434,1189,1895,8617
